threshold,precision,recall,f1,accuracy
0.18000000000000002,0.025897199947416853,0.8640350877192983,0.05028717294192725,0.2559
0.18500000000000003,0.027268913438679904,0.8552631578947368,0.05285269006640466,0.3011
0.19,0.028709579933514657,0.8333333333333334,0.05550686532281624,0.3534
0.195,0.03137450199203187,0.8289473684210527,0.060460652591170824,0.4126
0.2,0.033801256002955304,0.8026315789473685,0.06487061325771003,0.4724
0.20500000000000002,0.035990793052939944,0.7543859649122807,0.06870381465947674,0.5337
0.21000000000000002,0.03981878874582737,0.7324561403508771,0.07553143374038897,0.5912
0.21500000000000002,0.04265145340939962,0.6885964912280702,0.0803274494755692,0.6405
0.22,0.047559838358719304,0.6710526315789473,0.0888243831640058,0.6861
0.225,0.05251798561151079,0.6403508771929824,0.09707446808510638,0.7284
0.23,0.05740432612312812,0.6052631578947368,0.10486322188449848,0.7644
0.23500000000000001,0.06309751434034416,0.5789473684210527,0.11379310344827587,0.7944
0.24000000000000002,0.06809445359692477,0.543859649122807,0.12103465104929234,0.8199
0.24500000000000002,0.07624448645242596,0.5307017543859649,0.13333333333333333,0.8427
0.25,0.08333333333333333,0.5087719298245614,0.14320987654320988,0.8612
0.255,0.09304274937133278,0.4868421052631579,0.1562280084447572,0.8801
0.26,0.10204081632653061,0.4605263157894737,0.16706443914081145,0.8953
0.265,0.11327231121281464,0.4342105263157895,0.17967332123411978,0.9096
0.27,0.12082262210796915,0.41228070175438597,0.18687872763419483,0.9182
0.275,0.13284671532846715,0.3991228070175439,0.19934282584884994,0.9269
0.28,0.14729950900163666,0.39473684210526316,0.21454112038140644,0.9341
0.28500000000000003,0.16152450090744103,0.39035087719298245,0.22849807445442877,0.9399
0.29000000000000004,0.16831683168316833,0.37280701754385964,0.23192360163710776,0.9437
0.29500000000000004,0.18318965517241378,0.37280701754385964,0.24566473988439305,0.9478
0.3,0.19437939110070257,0.36403508771929827,0.2534351145038168,0.9511
0.305,0.20050125313283207,0.3508771929824561,0.2551834130781499,0.9533
0.31,0.215633423180593,0.3508771929824561,0.2671118530884808,0.9561
0.315,0.22647058823529412,0.33771929824561403,0.2711267605633803,0.9586
0.32,0.23885350318471338,0.32894736842105265,0.2767527675276753,0.9608
0.325,0.24745762711864408,0.3201754385964912,0.27915869980879543,0.9623
0.33,0.25448028673835127,0.31140350877192985,0.28007889546351084,0.9635
0.335,0.26136363636363635,0.3026315789473684,0.2804878048780488,0.9646
0.34,0.26506024096385544,0.2894736842105263,0.27672955974842767,0.9655
0.34500000000000003,0.2647058823529412,0.27631578947368424,0.2703862660944206,0.966
0.35000000000000003,0.27312775330396477,0.2719298245614035,0.2725274725274725,0.9669
0.35500000000000004,0.2824074074074074,0.2675438596491228,0.2747747747747748,0.9678
0.36000000000000004,0.2904761904761905,0.2675438596491228,0.2785388127853881,0.9684
0.365,0.3076923076923077,0.2631578947368421,0.28368794326241137,0.9697
0.37,0.31216931216931215,0.25877192982456143,0.2829736211031175,0.9701
0.375,0.33146067415730335,0.25877192982456143,0.29064039408866993,0.9712
0.38,0.3390804597701149,0.25877192982456143,0.2935323383084577,0.9716
0.385,0.3411764705882353,0.2543859649122807,0.2914572864321608,0.9718
0.39,0.34545454545454546,0.25,0.2900763358778626,0.9721
0.395,0.35403726708074534,0.25,0.2930591259640103,0.9725
0.4,0.3660130718954248,0.24561403508771928,0.29396325459317585,0.9731
0.405,0.3767123287671233,0.2412280701754386,0.29411764705882354,0.9736
0.41000000000000003,0.38405797101449274,0.2324561403508772,0.2896174863387978,0.974
0.41500000000000004,0.4015151515151515,0.2324561403508772,0.29444444444444445,0.9746
0.42000000000000004,0.41732283464566927,0.2324561403508772,0.29859154929577464,0.9751
0.42500000000000004,0.42276422764227645,0.22807017543859648,0.2962962962962963,0.9753
0.43,0.4297520661157025,0.22807017543859648,0.2979942693409742,0.9755
0.435,0.4406779661016949,0.22807017543859648,0.30057803468208094,0.9758
0.44,0.45217391304347826,0.22807017543859648,0.3032069970845481,0.9761
0.445,0.44642857142857145,0.21929824561403508,0.29411764705882354,0.976
0.45,0.4392523364485981,0.20614035087719298,0.28059701492537314,0.9759
0.455,0.4423076923076923,0.20175438596491227,0.27710843373493976,0.976
0.46,0.46875,0.19736842105263158,0.2777777777777778,0.9766
0.465,0.4891304347826087,0.19736842105263158,0.28125,0.977
